time,tug_x,tug_y,tug_yaw,ac_x,ac_y,ac_yaw
0.0,-0.0022,0.0,0.0,-0.6022,-2.5,0.0
0.04,-0.0067,0.0,0.0,-0.6067,-2.5,0.0
0.08,-0.0134,0.0,0.0,-0.6134,-2.5,0.0
0.12,-0.0224,0.0,0.0,-0.6224,-2.5,0.0
0.16,-0.0336,0.0,0.0,-0.6336,-2.5,0.0
0.2,-0.047,0.0,0.0,-0.647,-2.5,0.0
0.24,-0.0627,0.0,0.0,-0.6627,-2.5,0.0
0.28,-0.0806,0.0,0.0,-0.6806,-2.5,0.0
0.32,-0.1008,0.0,0.0,-0.7008,-2.5,0.0
0.36,-0.1232,0.0,0.0,-0.7232,-2.5,0.0
0.4,-0.1478,0.0,0.0,-0.7478,-2.5,0.0
0.44,-0.1747,0.0,0.0,-0.7747,-2.5,0.0
0.48,-0.2038,0.0,0.0,-0.8038,-2.5,0.0
0.52,-0.2352,0.0,0.0,-0.8352,-2.5,0.0
0.56,-0.2688,0.0,0.0,-0.8688,-2.5,0.0
0.6,-0.3046,0.0,0.0,-0.9046,-2.5,0.0
0.64,-0.3427,0.0,0.0,-0.9427,-2.5,0.0
0.68,-0.383,0.0,0.0,-0.983,-2.5,0.0
0.72,-0.4256,0.0,0.0,-1.0256,-2.5,0.0
0.76,-0.4704,0.0,0.0,-1.0704,-2.5,0.0
0.8,-0.5174,0.0,0.0,-1.1174,-2.5,0.0
0.84,-0.5667,0.0,0.0,-1.1667,-2.5,0.0
0.88,-0.6182,0.0,0.0,-1.2182,-2.5,0.0
0.92,-0.672,0.0,0.0,-1.272,-2.5,0.0
0.96,-0.728,0.0,0.0,-1.328,-2.5,0.0
1.0,-0.7862,0.0,0.0,-1.3862,-2.5,0.0
1.04,-0.8467,0.0,0.0,-1.4467,-2.5,0.0
1.08,-0.9067,0.0,0.0,-1.5067,-2.5,0.0
1.12,-0.9667,0.0,0.0,-1.5667,-2.5,0.0
1.16,-1.0267,0.0,0.0,-1.6267,-2.5,0.0
1.2,-1.0867,0.0,0.0,-1.6867,-2.5,0.0
1.24,-1.1467,0.0,0.0,-1.7467,-2.5,0.0
1.28,-1.2067,0.0,0.0,-1.8067,-2.5,0.0
1.32,-1.2667,0.0,0.0,-1.8667,-2.5,0.0
1.36,-1.3267,0.0,0.0,-1.9267,-2.5,0.0
1.4,-1.3867,0.0,0.0,-1.9867,-2.5,0.0
1.44,-1.4467,0.0,0.0,-2.0467,-2.5,0.0
1.48,-1.5067,0.0,0.0,-2.1067,-2.5,0.0
1.52,-1.5667,0.0,0.0,-2.1667,-2.5,0.0
1.56,-1.6267,0.0,0.0,-2.2267,-2.5,0.0
1.6,-1.6867,0.0,0.0,-2.2867,-2.5,0.0
1.64,-1.7467,0.0,0.0,-2.3467,-2.5,0.0
1.68,-1.8067,0.0,0.0,-2.4067,-2.5,0.0
1.72,-1.8667,0.0,0.0,-2.4667,-2.5,0.0
1.76,-1.9267,0.0,0.0,-2.5267,-2.5,0.0
1.8,-1.9867,0.0,0.0,-2.5867,-2.5,0.0
1.84,-2.0467,0.0,0.0,-2.6467,-2.5,0.0
1.88,-2.1067,0.0,0.0,-2.7067,-2.5,0.0
1.92,-2.1667,0.0,0.0,-2.7667,-2.5,0.0
