arc_m,x_r_m,y_r_m,theta_r_deg,beta_deg,nose_x_m,nose_y_m,theta_a_deg,kappa_r_1pm,steer_delta_deg,gear
0.000,-609.913,-649.950,30.000,0.000,-610.000,-650.000,30.000,0.000000,0.000,-1
0.000,-609.913,-649.950,30.000,0.000,-610.000,-650.000,30.000,0.000000,0.000,-1
1.000,-610.779,-650.450,29.999,0.000,-610.866,-650.500,29.999,0.000000,0.000,-1
2.000,-611.645,-650.950,29.998,0.000,-611.732,-651.000,29.998,-0.000000,-0.000,-1
3.000,-612.512,-651.450,29.997,0.000,-612.598,-651.500,29.997,-0.000066,-0.007,-1
4.000,-613.378,-651.950,29.993,0.000,-613.464,-652.000,29.993,-0.000000,-0.000,-1
5.000,-614.244,-652.450,29.990,0.000,-614.330,-652.500,29.990,-0.000000,-0.000,-1
6.000,-615.110,-652.950,29.986,0.000,-615.196,-653.000,29.986,-0.000306,-0.033,-1
7.000,-615.976,-653.449,29.970,0.000,-616.063,-653.499,29.970,-0.000000,-0.000,-1
8.000,-616.842,-653.949,29.954,0.000,-616.929,-653.999,29.954,-0.000000,-0.000,-1
9.000,-617.708,-654.449,29.938,0.000,-617.795,-654.499,29.938,-0.001363,-0.147,-1
10.000,-618.575,-654.947,29.867,0.000,-618.662,-654.997,29.867,-0.000000,-0.000,-1
11.000,-619.442,-655.446,29.796,0.000,-619.529,-655.495,29.796,-0.000005,-0.001,-1
12.000,-620.309,-655.944,29.725,0.000,-620.396,-655.994,29.725,-0.006054,-0.654,-1
13.000,-621.179,-656.437,29.410,0.000,-621.266,-656.486,29.410,0.000000,0.000,-1
14.000,-622.049,-656.931,29.094,0.000,-622.136,-656.979,29.094,-0.000098,-0.011,-1
15.000,-622.919,-657.424,28.774,0.000,-623.007,-657.472,28.774,-0.026909,-2.905,-1
16.000,-623.802,-657.893,27.357,0.000,-623.891,-657.939,27.357,0.000000,0.000,-1
17.000,-624.685,-658.363,25.940,0.000,-624.775,-658.406,25.940,-0.001770,-0.191,-1
18.000,-625.568,-658.831,24.532,0.142,-625.659,-658.872,24.675,-0.118932,-12.643,-1
19.000,-626.501,-659.190,23.695,9.857,-626.593,-659.230,33.552,0.000000,0.000,-1
20.000,-627.435,-659.550,22.857,19.571,-627.527,-659.589,42.429,0.001221,0.132,-1
21.000,-628.367,-659.910,22.161,28.727,-628.460,-659.948,50.888,0.033035,3.565,-1
22.000,-629.288,-660.302,25.292,22.756,-629.378,-660.344,48.048,-0.000000,-0.000,-1
23.000,-630.208,-660.693,28.422,16.785,-630.296,-660.741,45.207,0.024423,2.637,-1
23.997,-631.115,-661.105,31.656,10.614,-631.200,-661.158,42.271,0.261188,26.225,-1
24.997,-631.886,-661.742,35.995,2.312,-631.967,-661.801,38.306,0.000000,0.000,-1
25.997,-632.657,-662.379,40.333,-5.991,-632.734,-662.444,34.342,0.021999,2.376,-1
26.995,-633.413,-663.031,44.108,-13.374,-633.485,-663.101,30.734,0.134837,14.268,-1
27.995,-634.075,-663.781,44.434,-15.124,-634.147,-663.851,29.310,0.000000,0.000,-1
28.995,-634.737,-664.530,44.760,-16.874,-634.808,-664.601,27.886,-0.021944,-2.370,-1
29.994,-635.415,-665.265,44.547,-17.007,-635.486,-665.335,27.540,-0.100691,-10.753,-1
30.994,-636.163,-665.927,41.868,-9.721,-636.238,-665.994,32.146,0.000000,0.000,-1
31.994,-636.912,-666.590,39.188,-2.436,-636.990,-666.653,36.752,-0.031620,-3.413,-1
32.992,-637.680,-667.228,36.685,3.460,-637.760,-667.288,40.145,-0.123894,-13.152,-1
33.992,-638.522,-667.767,34.876,3.912,-638.604,-667.824,38.787,0.000000,0.000,-1
34.992,-639.365,-668.305,33.066,4.363,-639.449,-668.360,37.429,-0.007228,-0.781,-1
