time,phase,tug_x,tug_y,tug_yaw,ac_x,ac_y,ac_yaw,velocity,steer_angle
0.1,PUSHBACK,0.0,-8.877,-1.5709,-0.0,0.0,-1.5708,-0.1,0.07
0.2,PUSHBACK,0.0,-8.863,-1.5716,0.0,0.004,-1.5708,-0.2,0.14
0.3,PUSHBACK,0.0,-8.839,-1.5738,0.0002,0.018,-1.5708,-0.3,0.21
0.4,PUSHBACK,0.0002,-8.805,-1.5782,0.0006,0.042,-1.5708,-0.4,0.28
0.5,PUSHBACK,0.0007,-8.761,-1.5856,0.0015,0.076,-1.5709,-0.5,0.344
0.6,PUSHBACK,0.0017,-8.707,-1.5966,0.003,0.12,-1.5709,-0.6,0.3952
0.7,PUSHBACK,0.0037,-8.643,-1.6114,0.0052,0.174,-1.5709,-0.7,0.4362
0.8,PUSHBACK,0.0073,-8.5691,-1.6304,0.0081,0.2379,-1.5708,-0.8,0.4689
0.9,PUSHBACK,0.013,-8.4853,-1.6535,0.0119,0.3117,-1.5706,-0.9,0.4951
1.0,PUSHBACK,0.0218,-8.3917,-1.681,0.0165,0.3953,-1.5703,-1.0,0.5161
1.1,PUSHBACK,0.0346,-8.2886,-1.7128,0.0219,0.4886,-1.5696,-1.0981,0.5329
1.2,PUSHBACK,0.0522,-8.1763,-1.7488,0.028,0.5914,-1.5684,-1.1912,0.5463
1.3,PUSHBACK,0.0759,-8.056,-1.7887,0.0348,0.703,-1.5668,-1.2764,0.5571
1.4,PUSHBACK,0.1063,-7.9288,-1.8322,0.0421,0.8225,-1.5645,-1.3496,0.5656
1.5,PUSHBACK,0.1447,-7.7955,-1.879,0.0496,0.9484,-1.5614,-1.4425,0.5671
1.6,PUSHBACK,0.1923,-7.6555,-1.9278,0.0571,1.08,-1.5574,-1.5025,0.5429
1.7,PUSHBACK,0.2475,-7.5157,-1.9739,0.0641,1.2177,-1.5522,-1.5025,0.4965
1.8,PUSHBACK,0.3087,-7.3786,-2.0145,0.0698,1.3546,-1.5461,-1.5025,0.4333
1.9,PUSHBACK,0.3751,-7.2438,-2.0487,0.0734,1.4883,-1.5391,-1.5025,0.3633
2.0,PUSHBACK,0.4458,-7.1112,-2.0765,0.0749,1.6192,-1.5314,-1.5025,0.2933
2.1,PUSHBACK,0.5198,-6.9804,-2.0981,0.0742,1.7472,-1.5229,-1.5025,0.2233
2.2,PUSHBACK,0.5963,-6.8511,-2.1139,0.0714,1.8728,-1.514,-1.5025,0.1533
2.3,PUSHBACK,0.6745,-6.7228,-2.1239,0.0665,1.9962,-1.5045,-1.5025,0.0833
