time,tug_x,tug_y,tug_yaw,ac_x,ac_y,ac_yaw
0.0,0.0,9.081,1.5708,-0.0,0.2,1.5708
0.1,0.0,9.281,1.5708,-0.0,0.4,1.5708
0.2,0.0,9.481,1.5708,-0.0,0.6,1.5708
0.3,0.0,9.681,1.5708,-0.0,0.8,1.5708
0.4,0.0,9.881,1.5708,-0.0,1.0,1.5708
0.5,0.0,10.081,1.5708,-0.0,1.2,1.5708
0.6,0.0,10.281,1.5708,-0.0,1.4,1.5708
0.7,0.0,10.481,1.5708,-0.0,1.6,1.5708
0.8,0.0,10.681,1.5708,-0.0,1.8,1.5708
0.9,0.0,10.881,1.5708,-0.0,2.0,1.5708
1.0,0.0,11.081,1.5708,-0.0,2.2,1.5708
1.1,0.0,11.281,1.5708,-0.0,2.4,1.5708
1.2,0.0,11.481,1.5708,-0.0,2.6,1.5708
1.3,0.0,11.681,1.5708,-0.0,2.8,1.5708
1.4,0.0,11.881,1.5708,-0.0,3.0,1.5708
1.5,0.0,12.081,1.5708,-0.0,3.2,1.5708
1.6,0.0,12.281,1.5708,-0.0,3.4,1.5708
1.7,0.0,12.481,1.5708,-0.0,3.6,1.5708
1.8,0.0,12.681,1.5708,-0.0,3.8,1.5708
1.9,0.0,12.881,1.5708,-0.0,4.0,1.5708
2.0,0.0,13.081,1.5708,-0.0,4.2,1.5708
2.1,0.0,13.281,1.5708,-0.0,4.4,1.5708
2.2,0.0,13.481,1.5708,-0.0,4.6,1.5708
2.3,0.0,13.681,1.5708,-0.0,4.8,1.5708
2.4,0.0,13.881,1.5708,-0.0,5.0,1.5708
2.5,0.0,14.081,1.5708,-0.0,5.2,1.5708
2.6,0.0,14.281,1.5708,-0.0,5.4,1.5708
2.7,0.0,14.481,1.5708,-0.0,5.6,1.5708
2.8,0.0,14.681,1.5708,-0.0,5.8,1.5708
2.9,0.0,14.881,1.5708,-0.0,6.0,1.5708
3.0,0.0,15.081,1.5708,-0.0,6.2,1.5708
3.1,0.0,15.281,1.5708,-0.0,6.4,1.5708
3.2,0.0,15.481,1.5708,-0.0,6.6,1.5708
3.3,0.0,15.681,1.5708,-0.0,6.8,1.5708
3.4,0.0,15.881,1.5708,-0.0,7.0,1.5708
3.5,0.0,16.081,1.5708,-0.0,7.2,1.5708
3.6,0.0,16.281,1.5708,-0.0,7.4,1.5708
3.7,0.0,16.481,1.5708,-0.0,7.6,1.5708
3.8,0.0,16.681,1.5708,-0.0,7.8,1.5708
3.9,0.0,16.881,1.5708,-0.0,8.0,1.5708
4.0,0.0,17.081,1.5708,-0.0,8.2,1.5708
4.1,0.0,17.281,1.5708,-0.0,8.4,1.5708
4.2,0.0,17.481,1.5708,-0.0,8.6,1.5708
4.3,0.0,17.681,1.5708,-0.0,8.8,1.5708
4.4,0.0,17.881,1.5708,0.0,9.0,1.5708
4.5,0.0,18.081,1.5708,0.0,9.2,1.5708
4.6,0.0,18.281,1.5708,0.0,9.4,1.5708
4.7,0.0,18.481,1.5708,0.0,9.6,1.5708
4.8,0.0,18.681,1.5708,0.0,9.8,1.5708
4.9,0.0,18.881,1.5708,0.0,10.0,1.5708
5.0,0.0,19.081,1.5196,-0.0001,10.2001,1.5714
5.1,0.0102,19.2807,1.4683,-0.0001,10.4003,1.5708
5.2,0.0307,19.4797,1.4171,0.0002,10.5999,1.5691
5.3,0.0613,19.6773,1.3659,0.0011,10.7985,1.5663
5.4,0.102,19.8731,1.3147,0.0028,10.9957,1.5624
5.5,0.1527,20.0666,1.2634,0.0054,11.1911,1.5575
5.6,0.2132,20.2573,1.2122,0.0091,11.3842,1.5516
5.7,0.2834,20.4445,1.161,0.0141,11.5748,1.5447
5.8,0.3631,20.628,1.1098,0.0205,11.7625,1.5368
5.9,0.452,20.8071,1.0585,0.0283,11.9469,1.5281
6.0,0.5501,20.9814,1.0073,0.0378,12.1279,1.5185
6.1,0.6569,21.1505,0.9561,0.0489,12.3051,1.5081
6.2,0.7722,21.3139,0.9049,0.0618,12.4782,1.4969
6.3,0.8958,21.4712,0.8536,0.0763,12.6472,1.4849
6.4,1.0272,21.6219,0.8024,0.0926,12.8117,1.4721
6.5,1.1662,21.7657,0.7512,0.1106,12.9716,1.4587
6.6,1.3124,21.9022,0.7,0.1303,13.1267,1.4446
6.7,1.4654,22.031,0.6487,0.1516,13.2768,1.4298
6.8,1.6247,22.1519,0.5975,0.1745,13.4218,1.4144
6.9,1.7901,22.2644,0.5463,0.1988,13.5615,1.3985
7.0,1.961,22.3683,0.4951,0.2245,13.6959,1.3819
7.1,2.137,22.4633,0.4438,0.2514,13.8249,1.3649
7.2,2.3176,22.5492,0.3926,0.2794,13.9482,1.3474
7.3,2.5024,22.6257,0.3414,0.3084,14.066,1.3293
7.4,2.6908,22.6927,0.2902,0.3382,14.178,1.3109
7.5,2.8825,22.7499,0.2389,0.3687,14.2843,1.292
7.6,3.0768,22.7972,0.1877,0.3996,14.3848,1.2727
7.7,3.2733,22.8346,0.1365,0.4307,14.4795,1.253
7.8,3.4714,22.8618,0.0853,0.4619,14.5684,1.233
7.9,3.6707,22.8788,0.034,0.493,14.6514,1.2127
8.0,3.8706,22.8856,-0.0172,0.5237,14.7287,1.192
8.1,4.0706,22.8856,0.0,0.5526,14.7971,1.171
8.2,4.2706,22.8856,0.0,0.5852,14.8699,1.1502
8.3,4.4706,22.8856,0.0,0.6209,14.9455,1.1296
8.4,4.6706,22.8856,0.0,0.6597,15.0236,1.1092
8.5,4.8706,22.8856,0.0,0.7019,15.1041,1.089
8.6,5.0706,22.8856,0.0,0.7473,15.1869,1.069
8.7,5.2706,22.8856,0.0,0.7961,15.2718,1.0493
8.8,5.4706,22.8856,0.0,0.8482,15.3587,1.0298
8.9,5.6706,22.8856,0.0,0.9039,15.4473,1.0105
9.0,5.8706,22.8856,0.0,0.9629,15.5376,0.9914
9.1,6.0706,22.8856,0.0,1.0255,15.6294,0.9726
9.2,6.2706,22.8856,0.0,1.0915,15.7226,0.954
9.3,6.4706,22.8856,0.0,1.1611,15.8169,0.9357
9.4,6.6706,22.8856,0.0,1.234,15.9123,0.9176
9.5,6.8706,22.8856,0.0,1.3105,16.0086,0.8998
9.6,7.0706,22.8856,0.0,1.3904,16.1057,0.8822
9.7,7.2706,22.8856,0.0,1.4737,16.2034,0.8648
9.8,7.4706,22.8856,0.0,1.5605,16.3017,0.8478
9.9,7.6706,22.8856,0.0,1.6505,16.4003,0.8309
10.0,7.8706,22.8856,0.0,1.7439,16.4993,0.8144
10.1,8.0706,22.8856,0.0,1.8406,16.5984,0.7981
10.2,8.2706,22.8856,0.0,1.9404,16.6976,0.782
10.3,8.4706,22.8856,0.0,2.0435,16.7968,0.7662
10.4,8.6706,22.8856,0.0,2.1496,16.8958,0.7507
10.5,8.8706,22.8856,0.0,2.2589,16.9946,0.7354
10.6,9.0706,22.8856,0.0,2.3711,17.0931,0.7204
10.7,9.2706,22.8856,0.0,2.4863,17.1912,0.7056
10.8,9.4706,22.8856,0.0,2.6043,17.2889,0.6911
10.9,9.6706,22.8856,0.0,2.7251,17.386,0.6768
11.0,9.8706,22.8856,0.0,2.8487,17.4824,0.6628
11.1,10.0706,22.8856,0.0,2.975,17.5782,0.649
11.2,10.2706,22.8856,0.0,3.1039,17.6733,0.6355
