time,tug_x,tug_y,tug_yaw,ac_x,ac_y,ac_yaw
0.0,-609.9149,-649.9511,0.5236,-617.5195,-654.3416,0.5236
0.04,-609.9188,-649.9534,0.5236,-617.5234,-654.3439,0.5236
0.08,-609.9246,-649.9567,0.5236,-617.5292,-654.3472,0.5236
0.12,-609.9324,-649.9612,0.5236,-617.537,-654.3517,0.5236
0.16,-609.9421,-649.9668,0.5236,-617.5467,-654.3573,0.5236
0.2,-609.9537,-649.9735,0.5236,-617.5583,-654.364,0.5236
0.24,-609.9673,-649.9814,0.5236,-617.5719,-654.3719,0.5236
0.28,-609.9828,-649.9903,0.5236,-617.5874,-654.3808,0.5236
0.32,-610.0003,-650.0004,0.5236,-617.6049,-654.3909,0.5236
0.36,-610.0197,-650.0116,0.5236,-617.6243,-654.4021,0.5236
0.4,-610.041,-650.0239,0.5236,-617.6456,-654.4144,0.5236
0.44,-610.0643,-650.0374,0.5236,-617.6689,-654.4279,0.5236
0.48,-610.0895,-650.0519,0.5236,-617.6941,-654.4424,0.5236
0.52,-610.1167,-650.0676,0.5236,-617.7213,-654.4581,0.5236
0.56,-610.1458,-650.0844,0.5236,-617.7504,-654.4749,0.5236
0.6,-610.1768,-650.1023,0.5236,-617.7814,-654.4928,0.5236
0.64,-610.2098,-650.1214,0.5236,-617.8144,-654.5119,0.5236
0.68,-610.2447,-650.1415,0.5236,-617.8493,-654.532,0.5236
0.72,-610.2816,-650.1628,0.5236,-617.8861,-654.5533,0.5236
0.76,-610.3204,-650.1852,0.5236,-617.9249,-654.5757,0.5236
0.8,-610.3611,-650.2087,0.5236,-617.9657,-654.5992,0.5236
0.84,-610.4038,-650.2334,0.5236,-618.0084,-654.6239,0.5236
0.88,-610.4484,-650.2591,0.5236,-618.053,-654.6496,0.5236
0.92,-610.495,-650.286,0.5236,-618.0995,-654.6765,0.5236
0.96,-610.5435,-650.314,0.5236,-618.148,-654.7045,0.5236
1.0,-610.5939,-650.3431,0.5236,-618.1985,-654.7336,0.5236
1.04,-610.6463,-650.3734,0.5236,-618.2509,-654.7639,0.5236
1.08,-610.6982,-650.4034,0.5236,-618.3028,-654.7939,0.5236
1.12,-610.7502,-650.4334,0.5236,-618.3548,-654.8239,0.5236
1.16,-610.8022,-650.4634,0.5236,-618.4067,-654.8539,0.5236
1.2,-610.8541,-650.4934,0.5236,-618.4587,-654.8839,0.5236
