arc_m,x_r_m,y_r_m,theta_r_deg,beta_deg,nose_x_m,nose_y_m,theta_a_deg,kappa_r_1pm,steer_delta_deg,gear
0.000,-609.913,-649.950,30.000,0.000,-610.000,-650.000,30.000,0.000000,0.000,-1
0.000,-609.913,-649.950,30.000,0.000,-610.000,-650.000,30.000,0.000000,0.000,-1
1.000,-610.779,-650.450,29.999,0.000,-610.866,-650.500,29.999,-0.000000,-0.000,-1
2.000,-611.645,-650.950,29.998,0.000,-611.732,-651.000,29.998,-0.000000,-0.000,-1
3.000,-612.512,-651.450,29.997,0.000,-612.598,-651.500,29.997,-0.000065,-0.007,-1
4.000,-613.378,-651.950,29.993,0.000,-613.464,-652.000,29.993,-0.000000,-0.000,-1
5.000,-614.244,-652.450,29.990,0.000,-614.330,-652.500,29.990,-0.000000,-0.000,-1
6.000,-615.110,-652.950,29.986,0.000,-615.196,-653.000,29.986,-0.000305,-0.033,-1
7.000,-615.976,-653.449,29.970,0.000,-616.063,-653.499,29.970,0.000000,0.000,-1
8.000,-616.842,-653.949,29.954,0.000,-616.929,-653.999,29.954,-0.000000,-0.000,-1
9.000,-617.708,-654.449,29.938,0.000,-617.795,-654.499,29.938,-0.001359,-0.147,-1
10.000,-618.575,-654.947,29.868,0.000,-618.662,-654.997,29.868,0.000000,0.000,-1
11.000,-619.442,-655.446,29.797,0.000,-619.529,-655.495,29.797,-0.000005,-0.001,-1
12.000,-620.309,-655.944,29.726,0.000,-620.396,-655.994,29.726,-0.006039,-0.653,-1
13.000,-621.179,-656.437,29.411,0.000,-621.266,-656.486,29.411,0.000000,0.000,-1
14.000,-622.049,-656.931,29.096,0.000,-622.136,-656.979,29.096,-0.000099,-0.011,-1
15.000,-622.919,-657.424,28.777,0.000,-623.006,-657.472,28.777,-0.026842,-2.898,-1
16.000,-623.802,-657.893,27.364,0.000,-623.891,-657.939,27.364,0.000000,0.000,-1
17.000,-624.685,-658.363,25.950,0.000,-624.774,-658.407,25.950,-0.001780,-0.192,-1
18.000,-625.568,-658.831,24.545,0.144,-625.659,-658.872,24.689,-0.118646,-12.613,-1
19.000,-626.501,-659.191,23.723,9.860,-626.593,-659.231,33.583,0.000000,0.000,-1
20.000,-627.434,-659.551,22.900,19.576,-627.526,-659.590,42.476,0.001290,0.139,-1
21.000,-628.367,-659.912,22.223,28.723,-628.459,-659.950,50.946,0.034261,3.697,-1
22.000,-629.286,-660.305,25.431,22.747,-629.377,-660.348,48.178,-0.000000,-0.000,-1
23.000,-630.206,-660.697,28.638,16.772,-630.294,-660.745,45.409,0.025788,2.784,-1
23.996,-631.112,-661.112,31.975,10.590,-631.197,-661.165,42.565,0.266062,26.647,-1
24.996,-631.878,-661.755,36.653,2.279,-631.958,-661.815,38.931,0.000000,0.000,-1
25.996,-632.644,-662.398,41.330,-6.033,-632.719,-662.464,35.298,0.026955,2.910,-1
26.994,-633.391,-663.060,45.584,-13.384,-633.461,-663.132,32.200,0.157388,16.533,-1
27.994,-634.025,-663.833,47.362,-15.132,-634.093,-663.906,32.231,0.000000,0.000,-1
28.994,-634.660,-664.606,49.140,-16.879,-634.726,-664.681,32.261,-0.000000,-0.000,-1
29.994,-635.295,-665.378,50.276,-18.746,-635.359,-665.455,31.530,-0.000000,-0.000,-1
30.994,-635.930,-666.151,48.498,-21.153,-635.996,-666.226,27.345,0.000000,0.000,-1
31.994,-636.564,-666.924,46.720,-23.560,-636.633,-666.996,23.160,-0.039695,-4.281,-1
32.991,-637.227,-667.668,44.318,-24.066,-637.299,-667.738,20.252,-0.144857,-15.280,-1
33.991,-637.993,-668.311,39.640,-17.635,-638.070,-668.375,22.005,-0.000000,-0.000,-1
