t_s,ref_x,ref_y,ref_theta,ref_hitch,kin_x,kin_y,kin_theta,kin_hitch,dyn_x,dyn_y,dyn_theta,dyn_hitch,dyn_delta,dyn_v_ms,mlg_kin_x,mlg_kin_y,mlg_dyn_x,mlg_dyn_y,gap_m,kin_err_m,dyn_err_m,hitch_gap_deg
0.0,-609.9134,-649.95,0.5236,0.0,-609.9134,-649.95,0.5236,0.0,-609.9134,-649.95,0.5236,0.0,0.0,0.0,-617.6046,-654.3905,-617.6046,-654.3905,0.0,0.0,0.0,0.0
0.5,-610.0128,-650.0074,0.5236,0.0,-610.0961,-650.0555,0.5236,-0.0,-610.0191,-650.011,0.5236,-0.0,-0.0,-0.4734,-617.7873,-654.496,-617.7102,-654.4515,0.089,0.0962,0.0073,0.0
1.0,-610.3108,-650.1794,0.5236,0.0,-610.4629,-650.2672,0.5236,-0.0,-610.3234,-650.1867,0.5236,-0.0,-0.0,-0.9323,-618.154,-654.7077,-618.0146,-654.6272,0.161,0.1756,0.0145,0.0001
1.5,-610.8076,-650.4663,0.5236,0.0,-611.0076,-650.5817,0.5236,-0.0,-610.8265,-650.4772,0.5236,-0.0,-0.0,-1.3912,-618.6988,-655.0222,-618.5177,-654.9177,0.2091,0.231,0.0218,0.0001
2.0,-611.5025,-650.8675,0.5236,0.0,-611.6933,-650.9777,0.5236,-0.0,-611.4928,-650.8619,0.5236,-0.0,-0.0,-1.6863,-619.3845,-655.4181,-619.184,-655.3024,0.2316,0.2204,0.0112,0.0002
2.5,-612.2819,-651.3175,0.5236,0.0,-612.4303,-651.4032,0.5236,-0.0,-612.2467,-651.2971,0.5236,-0.0,-0.0,-1.7959,-620.1215,-655.8436,-619.9379,-655.7376,0.212,0.1714,0.0406,0.0001
3.0,-613.0613,-651.7675,0.5236,0.0,-613.1846,-651.8387,0.5236,-0.0,-613.0252,-651.7466,0.5236,-0.0,-0.0,-1.8,-620.8758,-656.2791,-620.7164,-656.1871,0.184,0.1424,0.0417,0.0001
3.5,-613.8407,-652.2175,0.5236,0.0,-613.9459,-652.2782,0.5236,-0.0,-613.8047,-652.1966,0.5236,-0.0,-0.0,-1.8,-621.6371,-656.7187,-621.4958,-656.6371,0.1631,0.1215,0.0417,0.0001
4.0,-614.6202,-652.6675,0.5236,0.0,-614.7111,-652.72,0.5236,-0.0,-614.5841,-652.6466,0.5236,-0.0,-0.0,-1.8,-622.4023,-657.1605,-622.2753,-657.0871,0.1467,0.1051,0.0417,0.0001
4.5,-615.3996,-653.1175,0.5236,0.0,-615.4791,-653.1634,0.5236,-0.0,-615.3635,-653.0966,0.5236,-0.0,-0.0,-1.8,-623.1703,-657.6038,-623.0547,-657.5371,0.1335,0.0918,0.0417,0.0
5.0,-616.179,-653.5675,0.5236,0.0,-616.2492,-653.608,0.5236,-0.0,-616.1429,-653.5467,0.5236,-0.0,-0.0,-1.8,-623.9404,-658.0485,-623.8341,-657.9871,0.1227,0.081,0.0417,0.0
5.5,-616.9584,-654.0175,0.5236,0.0,-617.021,-654.0536,0.5236,-0.0,-616.9223,-653.9967,0.5236,-0.0,-0.0,-1.8,-624.7122,-658.494,-624.6135,-658.4371,0.1139,0.0722,0.0417,0.0
6.0,-617.7379,-654.4675,0.5236,0.0,-617.7942,-654.5,0.5236,-0.0,-617.7017,-654.4467,0.5236,-0.0,-0.0,-1.8,-625.4854,-658.9405,-625.393,-658.8871,0.1067,0.0651,0.0417,0.0
6.5,-618.5173,-654.9175,0.5236,0.0,-618.5685,-654.9471,0.5236,-0.0,-618.4812,-654.8967,0.5236,-0.0,-0.0,-1.8,-626.2598,-659.3875,-626.1724,-659.3371,0.1009,0.0592,0.0417,0.0001
7.0,-619.2967,-655.3675,0.5236,0.0,-619.3438,-655.3948,0.5236,-0.0,-619.2606,-655.3467,0.5236,-0.0,-0.0,-1.8,-627.0351,-659.8351,-626.9518,-659.7871,0.0961,0.0545,0.0417,0.0001
7.5,-620.0761,-655.8175,0.5236,0.0,-620.1199,-655.8429,0.5236,-0.0,-620.04,-655.7967,0.5236,-0.0,-0.0,-1.8,-627.8112,-660.2832,-627.7313,-660.2371,0.0923,0.0507,0.0417,0.0001
8.0,-620.8555,-656.2675,0.5236,0.0,-620.8967,-656.2914,0.5236,-0.0,-620.8194,-656.2467,0.5236,-0.0,-0.0,-1.8,-628.588,-660.7317,-628.5107,-660.6871,0.0893,0.0476,0.0417,0.0001
8.5,-621.635,-656.7175,0.5236,0.0,-621.6741,-656.7402,0.5236,-0.0,-621.5988,-656.6967,0.5236,-0.0,-0.0,-1.8,-629.3654,-661.1805,-629.2901,-661.137,0.0869,0.0453,0.0417,0.0001
9.0,-622.4144,-657.1675,0.5236,0.0,-622.4519,-657.1893,0.5236,-0.0001,-622.3782,-657.1467,0.5236,-0.0001,-0.0,-1.8,-630.1433,-661.6295,-630.0696,-661.587,0.0851,0.0435,0.0417,0.0001
9.5,-623.1938,-657.6175,0.5236,0.0,-623.2301,-657.6386,0.5236,-0.0001,-623.1577,-657.5968,0.5236,-0.0001,-0.0,-1.8,-630.9215,-662.0788,-630.849,-662.037,0.0837,0.042,0.0417,0.0002
10.0,-623.9732,-658.0675,0.5236,0.0,-624.0086,-658.0881,0.5236,-0.0001,-623.9371,-658.0468,0.5236,-0.0001,-0.0,-1.8,-631.7,-662.5283,-631.6284,-662.487,0.0826,0.041,0.0417,0.0002
10.5,-624.7527,-658.5175,0.5236,0.0,-624.7874,-658.5377,0.5236,-0.0001,-624.7165,-658.4968,0.5236,-0.0001,-0.0,-1.8,-632.4788,-662.9778,-632.4079,-662.9369,0.0819,0.0402,0.0417,0.0002
11.0,-625.5321,-658.9675,0.5236,0.0,-625.5663,-658.9875,0.5236,-0.0001,-625.4959,-658.9468,0.5236,-0.0001,-0.0,-1.8,-633.2578,-663.4275,-633.1873,-663.3869,0.0813,0.0397,0.0417,0.0002
11.5,-626.3115,-659.4175,0.5236,0.0,-626.3454,-659.4373,0.5236,-0.0001,-626.2753,-659.3968,0.5236,-0.0001,-0.0,-1.8,-634.0369,-663.8773,-633.9668,-663.8368,0.081,0.0393,0.0417,0.0002
12.0,-627.0909,-659.8675,0.5236,0.0,-627.1246,-659.8872,0.5236,-0.0001,-627.0547,-659.8468,0.5236,-0.0001,0.0,-1.8,-634.8162,-664.3271,-634.7462,-664.2868,0.0807,0.0391,0.0417,0.0002
12.5,-627.8703,-660.3175,0.5236,0.0,-627.9039,-660.3371,0.5236,-0.0001,-627.8341,-660.2969,0.5236,-0.0001,0.0,-1.8,-635.5955,-664.777,-635.5257,-664.7367,0.0806,0.0389,0.0417,0.0002
13.0,-628.6498,-660.7675,0.5236,0.0,-628.6832,-660.7871,0.5236,-0.0001,-628.6136,-660.7469,0.5236,-0.0001,0.0,-1.8,-636.3749,-665.2268,-636.3052,-665.1866,0.0805,0.0388,0.0417,0.0002
13.5,-629.4292,-661.2175,0.5236,0.0,-629.4626,-661.2371,0.5236,-0.0001,-629.393,-661.1969,0.5236,-0.0001,0.0,-1.8,-637.1542,-665.6767,-637.0846,-665.6366,0.0804,0.0387,0.0417,0.0002
14.0,-630.2086,-661.6675,0.5236,0.0,-630.2419,-661.687,0.5236,-0.0001,-630.1724,-661.6469,0.5236,-0.0001,0.0,-1.8,-637.9337,-666.1266,-637.8641,-666.0865,0.0803,0.0386,0.0417,0.0001
14.5,-630.988,-662.1175,0.5236,0.0,-631.0213,-662.137,0.5236,-0.0001,-630.9518,-662.0969,0.5236,-0.0001,0.0,-1.8,-638.7131,-666.5764,-638.6436,-666.5364,0.0802,0.0386,0.0417,0.0001
15.0,-631.7675,-662.5675,0.5236,0.0,-631.8007,-662.587,0.5236,-0.0001,-631.7312,-662.5469,0.5236,-0.0001,0.0,-1.8,-639.4925,-667.0263,-639.4231,-666.9862,0.0802,0.0385,0.0417,0.0
15.5,-632.5469,-663.0175,0.5236,0.0,-632.58,-663.0369,0.5236,-0.0001,-632.5107,-662.9969,0.5236,-0.0002,0.0,-1.8,-640.272,-667.4761,-640.2026,-667.4361,0.0801,0.0385,0.0417,0.0002
16.0,-633.3263,-663.4675,0.5236,0.0,-633.3594,-663.4869,0.5236,-0.0001,-633.2901,-663.4469,0.5236,-0.0001,0.0,-1.8,-641.0514,-667.926,-640.9821,-667.886,0.0801,0.0384,0.0417,0.0004
16.5,-634.1057,-663.9175,0.5236,0.0,-634.1388,-663.9368,0.5235,-0.0001,-634.0695,-663.8968,0.5235,-0.0001,0.0001,-1.8,-641.8309,-668.3758,-641.7616,-668.3358,0.08,0.0384,0.0417,0.0007
17.0,-634.8852,-664.3675,0.5236,0.0,-634.9183,-664.3867,0.5235,-0.0001,-634.849,-664.3468,0.5235,-0.0001,0.0001,-1.8,-642.6104,-668.8256,-642.5411,-668.7857,0.08,0.0383,0.0417,0.0011
17.5,-635.6646,-664.8175,0.5236,0.0,-635.6977,-664.8366,0.5234,-0.0,-635.6285,-664.7967,0.5235,-0.0001,0.0001,-1.8,-643.3899,-669.2754,-643.3206,-669.2355,0.0799,0.0383,0.0417,0.0018
18.0,-636.444,-665.2675,0.5236,0.0,-636.4772,-665.2864,0.5233,0.0,-636.408,-665.2466,0.5234,-0.0,0.0002,-1.8,-644.1694,-669.7252,-644.1001,-669.6853,0.0799,0.0382,0.0417,0.0027
18.5,-637.2234,-665.7175,0.5236,0.0,-637.2567,-665.7361,0.5232,0.0002,-637.1875,-665.6964,0.5233,0.0001,0.0002,-1.8,-644.9488,-670.175,-644.8797,-670.1352,0.0799,0.0382,0.0417,0.0042
19.0,-638.0028,-666.1675,0.5236,0.0,-638.0363,-666.1858,0.5231,0.0004,-637.9671,-666.1461,0.5232,0.0002,0.0003,-1.8,-645.7283,-670.6249,-645.6592,-670.585,0.0798,0.0382,0.0417,0.0063
19.5,-638.7823,-666.6175,0.5236,0.0,-638.816,-666.6352,0.5228,0.0006,-638.7468,-666.5956,0.523,0.0005,0.0005,-1.8,-646.5078,-671.0747,-646.4387,-671.0348,0.0798,0.0382,0.0417,0.0094
20.0,-639.5617,-667.0675,0.5236,0.0,-639.5958,-667.0845,0.5225,0.0011,-639.5265,-667.045,0.5227,0.0008,0.0007,-1.8,-647.2872,-671.5246,-647.2182,-671.4847,0.0797,0.0382,0.0417,0.0137
20.5,-640.3411,-667.5175,0.5236,0.0,-640.3758,-667.5334,0.522,0.0017,-640.3065,-667.4942,0.5223,0.0014,0.001,-1.8,-648.0666,-671.9746,-647.9976,-671.9347,0.0797,0.0382,0.0418,0.0189
21.0,-641.1205,-667.9675,0.5236,0.0,-641.1561,-667.9819,0.5214,0.0025,-641.0866,-667.9429,0.5217,0.0021,0.0014,-1.8,-648.8459,-672.4248,-648.777,-672.3848,0.0797,0.0384,0.0419,0.0244
21.5,-641.9,-668.4175,0.5236,0.0,-641.9366,-668.4299,0.5206,0.0037,-641.867,-668.3911,0.5209,0.0031,0.0018,-1.8,-649.6251,-672.8751,-649.5562,-672.835,0.0796,0.0387,0.0421,0.0296
22.0,-642.6794,-668.8675,0.5236,0.0,-642.7176,-668.8771,0.5196,0.0051,-642.6479,-668.8387,0.52,0.0045,0.0023,-1.8,-650.404,-673.3258,-650.3354,-673.2856,0.0796,0.0394,0.0427,0.0346
22.5,-643.4588,-669.3175,0.5236,0.0,-643.4991,-669.3235,0.5184,0.0069,-643.4292,-669.2854,0.5188,0.0062,0.0026,-1.8,-651.1828,-673.7769,-651.1143,-673.7365,0.0796,0.0407,0.0436,0.0398
23.0,-644.2399,-669.7649,0.5215,0.0025,-644.2811,-669.7689,0.5171,0.0091,-644.211,-669.7312,0.5175,0.0083,0.0028,-1.8,-651.9612,-674.2285,-651.8928,-674.1878,0.0796,0.0414,0.0444,0.0458
23.5,-645.0226,-670.2097,0.517,0.0076,-645.0637,-670.2133,0.5158,0.0115,-644.9935,-670.1759,0.5162,0.0106,0.0027,-1.8,-652.7391,-674.6809,-652.671,-674.6399,0.0795,0.0412,0.0446,0.0512
24.0,-645.8054,-670.6545,0.5126,0.0128,-645.8468,-670.6568,0.5147,0.0139,-645.7765,-670.6196,0.515,0.013,0.0022,-1.8,-653.5165,-675.1342,-653.4487,-675.0928,0.0795,0.0414,0.0453,0.0529
24.5,-646.5899,-671.0971,0.5095,0.017,-646.6303,-671.0995,0.514,0.0161,-646.5599,-671.0626,0.5142,0.0152,0.0013,-1.8,-654.2933,-675.5886,-654.2257,-675.5467,0.0795,0.0405,0.0457,0.0478
25.0,-647.3771,-671.5361,0.5088,0.0198,-647.414,-671.5421,0.5141,0.0178,-647.3436,-671.5051,0.5139,0.0172,-0.0001,-1.8,-655.0692,-676.0442,-655.002,-676.0019,0.0795,0.0373,0.0456,0.0343
25.5,-648.1643,-671.9752,0.508,0.0225,-648.1974,-671.9849,0.5149,0.0188,-648.1273,-671.9477,0.5144,0.0185,-0.0019,-1.8,-655.8443,-676.5012,-655.7775,-676.4583,0.0794,0.0345,0.0461,0.013
